epoch,phase,be_rss_kb,be_pss_kb,be_swap_kb,be_cpu_ticks,be_threads,pg_rss_kb,pg_cpu_ticks,nginx_rss_kb,mem_total_kb,mem_avail_kb,swap_used_kb,load1,temp_c,net_rx,net_tx
1787019135.470585726,baseline,54976,53317,38848,992,5,117572,927,684,425180,149660,227928,2.44,51.5,771267995,342223984
1787019136.162652011,baseline,54976,53338,38848,992,5,117688,927,684,425180,149200,227924,2.44,51.0,771269063,342224126
1787019136.818341781,baseline,54976,53338,38848,992,5,117688,927,684,425180,148804,227920,2.24,50.5,771269115,342224192
1787019137.474669059,baseline,54976,53339,38848,992,5,117688,927,684,425180,148008,227888,2.24,50.5,771269115,342224192
1787019138.131222851,baseline,54976,53338,38848,992,5,117688,927,684,425180,148192,227744,2.24,50.5,771269811,342225910
1787019138.791786676,baseline,54976,53338,38848,992,5,117688,927,684,425180,148800,224816,2.24,51.0,771270019,342226042
1787019139.482003379,baseline,54976,53338,38848,992,5,117688,927,684,425180,149036,224812,2.24,50.5,771270019,342226042
1787019140.136675863,baseline,54976,53338,38848,992,5,117688,927,684,425180,147704,224808,2.24,50.5,771270183,342226184
1787019140.792508360,baseline,54976,53338,38848,992,5,117688,927,684,425180,147128,224800,2.24,50.5,771270323,342226290
1787019141.446633659,baseline,55060,53422,38824,993,5,118528,932,684,425180,145616,224224,2.14,50.5,771271489,342226430
1787019142.115547455,baseline,55568,54194,38668,994,5,119336,937,684,425180,153544,223276,2.14,51.5,771278226,342235120
1787019142.856362412,cargo_reset,52288,50211,45016,1012,7,123796,959,684,425180,161244,236712,2.14,52.6,771283608,342240841
1787019143.745331281,cargo_reset,39208,37537,57936,1030,8,123472,959,684,425180,164280,243856,2.14,52.1,771289214,342246364
1787019144.462683259,cargo_reset,0,0,0,0,0,12780,716,684,425180,199688,172764,2.14,52.6,771290186,342247728
1787019145.120229900,cargo_reset,15380,13910,0,14,5,37548,725,684,425180,193808,172356,2.14,52.1,771290186,342247728
1787019145.847094351,cargo_reset,17508,15837,0,24,6,116628,761,684,425180,191500,172088,2.14,51.5,771290326,342247834
1787019146.528999982,cargo_reset,30376,30053,0,66,6,125268,771,684,425180,169548,172052,2.21,52.6,771295660,342251173
1787019147.256230170,cargo_reset,61792,60084,0,104,6,125252,771,684,425180,160656,172044,2.21,52.1,771296464,342253093
1787019148.017254467,cargo_reset,67848,66177,0,112,6,129180,786,684,425180,161192,171956,2.21,52.1,771302444,342268537
1787019148.714751630,cargo_reset,68072,66401,0,113,6,129560,788,684,425180,164552,171944,2.21,51.5,771302584,342268643
1787019149.374463254,cargo_reset,67024,65353,0,113,6,129560,788,684,425180,162080,171940,2.21,51.5,771302584,342268643
1787019150.049846872,cargo_reset,67024,65353,0,113,6,129560,788,684,425180,160104,171940,2.21,50.5,771302676,342268785
1787019150.706798117,cargo_reset,67024,65320,0,113,6,129560,788,684,425180,155540,171916,2.21,51.5,771311633,342281171
1787019151.406426245,cargo_cold,70964,69526,0,184,12,254584,847,684,425180,141144,171516,2.60,52.6,773487327,343894021
1787019152.460922907,cargo_cold,66724,64986,0,248,27,270552,882,684,425180,119188,176220,2.60,53.7,775041928,345888096
1787019153.786463630,cargo_cold,67784,66016,1636,336,30,506604,1039,684,425180,126984,199160,2.60,53.7,777692261,348459628
1787019155.707234543,cargo_cold,46852,45083,16004,437,30,564972,1148,684,425180,124596,229556,5.19,55.8,777733858,348793891
1787019158.462232095,cargo_cold,47280,45561,22652,672,30,586808,1233,684,425180,129460,244772,5.19,56.4,783542382,349998797
1787019161.592049437,cargo_cold,35808,34251,38108,1021,73,686040,1373,680,425180,125792,265364,11.10,56.4,786776725,357448031
1787019165.777158804,cargo_cold,28472,26739,44636,1138,73,617096,1417,680,425180,129240,260524,11.09,56.9,787107458,358146107
1787019167.800635532,cargo_cold,31040,29316,43992,1253,73,619768,1435,680,425180,128252,259292,11.09,56.9,787112932,358154610
1787019168.881956254,cargo_cold,31048,29321,43984,1253,73,619768,1435,680,425180,136700,259100,11.09,55.3,787114896,358157242
1787019170.008500815,idle_between,27152,25173,47968,1253,73,550716,1435,680,425180,158340,280152,11.09,55.8,787115628,358157622
1787019171.081216018,idle_between,24292,22569,50740,1253,73,544456,1437,680,425180,153268,278700,10.37,55.3,787116656,358157688
1787019172.098479090,idle_between,24596,22873,50500,1254,73,546036,1440,680,425180,149560,278676,10.37,54.8,787116888,358157936
1787019173.095511753,idle_between,24596,22873,50500,1254,73,546036,1440,680,425180,147512,278652,10.37,54.2,787116888,358157936
1787019174.090502636,idle_between,24596,22873,50500,1254,73,546056,1440,680,425180,146108,278560,10.37,54.2,787117020,358158144
