epoch,phase,be_rss_kb,be_pss_kb,be_swap_kb,be_cpu_ticks,be_threads,pg_rss_kb,pg_cpu_ticks,nginx_rss_kb,mem_total_kb,mem_avail_kb,swap_used_kb,load1,temp_c,net_rx,net_tx
1787022846.168588766,baseline,21452,19879,53184,2239,6,243132,1357,680,425180,144980,225304,0.37,41.9,789163022,389901999
1787022846.991620869,idle,21452,19936,53184,2239,6,243132,1357,680,425180,144864,225304,0.37,41.9,789163022,389901999
1787022847.744931512,idle,21452,19935,53184,2239,6,243132,1357,680,425180,144064,225304,0.37,41.9,789163022,389901999
1787022848.499025490,idle,21452,19935,53184,2239,6,243132,1357,680,425180,143328,225304,0.37,41.9,789163785,389902289
1787022849.254899472,idle,21452,19935,53184,2239,6,243132,1357,680,425180,144608,225304,0.42,41.9,789164266,389902289
1787022850.010654860,idle,21452,19935,53184,2239,6,243132,1357,680,425180,145712,225304,0.42,41.9,789164757,389902289
1787022850.822971796,idle,21452,19935,53184,2239,6,243132,1357,680,425180,146328,225304,0.42,42.9,789164849,389902431
1787022851.575836349,idle,21452,19935,53184,2240,6,244296,1359,680,425180,146924,225300,0.42,42.4,789165082,389902644
1787022852.337082582,idle,21452,19882,53184,2240,6,244296,1359,680,425180,144484,225288,0.42,42.9,789169768,389907391
1787022853.126309849,conc_1,21452,19935,53184,2242,6,244360,1364,680,425180,142828,225284,0.42,42.9,789175174,390212316
1787022853.920976761,conc_1,21452,19935,53184,2251,6,244600,1375,680,425180,142012,225276,0.42,42.9,789180539,390963784
1787022854.722079206,conc_1,21452,19935,53184,2266,6,244704,1391,680,425180,142560,225260,0.38,44.0,789188152,392086800
1787022855.598605050,conc_1,21452,19935,53184,2290,6,245024,1413,680,425180,143060,225252,0.38,44.0,789196995,393360234
1787022856.483679502,conc_1,21452,19935,53184,2311,6,245440,1434,680,425180,142636,225236,0.38,44.0,789205705,394708942
1787022857.337810678,conc_1,21456,19939,53180,2335,6,246088,1455,680,425180,143836,225216,0.38,44.0,789215142,396055578
1787022858.207689171,conc_1,21596,20079,53180,2358,7,246280,1474,680,425180,144396,225200,0.38,44.0,789223927,397328596
1787022859.064348583,conc_1,19744,16239,53180,2379,7,246392,1492,680,425180,154080,225184,0.59,45.1,789233232,398750842
1787022859.924741855,conc_1,18472,16955,53180,2403,7,246620,1512,680,425180,151732,225176,0.59,44.5,789242438,400024564
1787022860.788422530,conc_1,18472,16955,53180,2425,7,246788,1532,680,425180,148996,225160,0.59,44.5,789252132,401373872
1787022861.677325590,conc_1,18536,17019,53180,2442,7,247208,1545,680,425180,148636,225096,0.59,44.5,789256799,402051022
