epoch,phase,be_rss_kb,be_pss_kb,be_swap_kb,be_cpu_ticks,be_threads,pg_rss_kb,pg_cpu_ticks,nginx_rss_kb,mem_total_kb,mem_avail_kb,swap_used_kb,load1,temp_c,net_rx,net_tx
1787019074.284379516,baseline,21672,20015,57312,2400,6,370044,1531,684,425180,146496,291104,3.49,49.4,735175491,290157493
1787019075.341291524,baseline,21672,20033,57312,2400,6,370044,1531,684,425180,144100,291088,3.49,49.4,735175491,290157493
1787019076.329756607,baseline,21672,20033,57312,2400,6,370056,1531,684,425180,145232,291064,3.29,48.3,735176559,290157635
1787019077.320931196,baseline,21672,20033,57312,2400,6,370056,1531,684,425180,146020,290928,3.29,48.9,735177063,290158569
1787019078.339130563,baseline,21676,20027,57308,2401,6,371372,1535,684,425180,142608,289908,3.29,49.4,735177155,290158711
1787019079.326057271,baseline,21676,20027,57308,2401,6,371372,1535,684,425180,143068,289908,3.29,49.9,735177295,290158817
1787019080.314129933,baseline,21676,20027,57308,2401,6,371372,1535,684,425180,141672,289804,3.29,49.4,735182925,290164098
1787019081.358542265,pypi_reset,24528,22879,57192,2404,5,381880,1582,684,425180,138120,282424,3.19,49.4,735188295,290172000
1787019082.482531828,pypi_reset,26712,25050,57020,2413,11,387896,1584,684,425180,128884,269464,3.19,49.9,735196517,290179459
1787019083.675974750,pypi_reset,0,0,0,0,0,30876,705,684,425180,194572,178356,3.19,51.0,735197781,290181302
1787019084.692522746,pypi_reset,15908,14450,0,12,5,21992,710,684,425180,198560,177956,3.19,50.5,735197953,290181462
1787019085.409173284,pypi_reset,17960,16290,0,23,6,111652,748,684,425180,193780,176924,3.19,50.5,735197953,290181462
1787019086.101999440,pypi_reset,23520,21986,0,59,6,120376,766,684,425180,188016,176760,3.19,50.5,735201211,290184333
1787019086.820731667,pypi_reset,47668,46060,0,85,6,120384,766,684,425180,160608,176744,3.25,50.5,735204091,290186611
1787019087.548732973,pypi_reset,66952,65281,0,114,6,122460,777,684,425180,158768,176012,3.25,51.0,735208496,290197177
1787019088.281925882,pypi_reset,68544,66873,0,120,6,125208,784,684,425180,158028,176000,3.25,49.9,735210297,290202231
1787019088.939166124,pypi_reset,68544,66873,0,120,6,125208,784,684,425180,158048,175972,3.25,49.9,735212552,290206009
1787019089.595137456,pypi_reset,68544,66873,0,120,6,125208,784,684,425180,164328,176236,3.25,49.4,735212552,290206009
1787019090.253879435,pypi_reset,68544,66838,0,120,6,125208,784,684,425180,158932,176228,3.25,49.9,735218186,290211322
1787019090.945410762,pypi_cold,71428,69813,0,126,6,126684,789,684,425180,159340,176064,3.25,49.4,735364398,290289826
1787019091.650688180,pypi_cold,75256,73713,0,150,6,128156,794,684,425180,155644,176048,3.07,49.9,737144970,290324268
1787019092.372395196,pypi_cold,80048,78377,0,185,6,128168,797,684,425180,154116,176028,3.07,50.5,737658812,291961279
1787019093.271515759,pypi_cold,81764,80269,0,227,6,128788,799,684,425180,152304,176012,3.07,50.5,738752788,292050577
1787019093.984604285,pypi_cold,82456,80785,0,244,7,129116,805,684,425180,151024,175980,3.07,49.9,739117367,292172153
1787019094.681694108,pypi_cold,82684,81013,0,260,7,129148,812,684,425180,148792,175948,3.07,49.9,739713656,292364147
